@relation quotepairs
@attribute unigram_lex_quote_prob real
@attribute unigram_lex_antiquote_prob real
@attribute unigram_lex_diff real
@attribute unigram_lex_quote1_more_likely integer
@attribute bigram_lex_quote_prob real
@attribute bigram_lex_antiquote_prob real
@attribute bigram_lex_diff real
@attribute bigram_lex_quote1_more_likely integer
@attribute trigram_lex_quote_prob real
@attribute trigram_lex_antiquote_prob real
@attribute trigram_lex_diff real
@attribute trigram_lex_quote1_more_likely integer
@attribute unigram_syn_quote_prob real
@attribute unigram_syn_antiquote_prob real
@attribute unigram_syn_diff real
@attribute unigram_syn_quote1_more_likely integer
@attribute bigram_syn_quote_prob real
@attribute bigram_syn_antiquote_prob real
@attribute bigram_syn_diff real
@attribute bigram_syn_quote1_more_likely integer
@attribute trigram_syn_quote_prob real
@attribute trigram_syn_antiquote_prob real
@attribute trigram_syn_diff real
@attribute trigram_syn_quote1_more_likely integer
@data
1.7283496100708263e-39,2.1899418745896694e-39,-4.6159226451884317e-40,0,5.7924584949119891e-40,2.7656781306654241e-43,5.7896928167813237e-40,1,4.8137142270480836e-29,6.0675757901849169e-35,4.8137081594722932e-29,1,2.1527090076147672e-26,1.3075804951072974e-23,-1.3054277860996826e-23,0,1.3374559544893176e-24,3.6785407962819827e-23,-3.544795200833051e-23,0,9.0570972582444311e-18,2.7175368997300841e-14,-2.7166311900042596e-14,0
6.384520205926688e-32,8.5195827248354633e-34,6.2993243786783338e-32,1,6.0772002113554071e-32,4.1905248869573354e-34,6.0352949624858341e-32,1,1.4087987686777118e-22,2.8890974012898422e-29,1.4087984797679718e-22,1,1.7179829708811708e-17,2.5727756505498743e-17,-8.5479267966870342e-18,0,2.3351159317330066e-15,6.4528837237643682e-17,2.2705870944953631e-15,1,1.2345799051745897e-11,2.4761314485657645e-13,1.2098185906889321e-11,1
1.1765244618492143e-35,2.0690762866579287e-35,-8.9255182480871439e-36,0,1.2232750681297124e-34,6.5557810358959488e-38,1.2226194900261229e-34,1,1.3981097458567381e-25,5.2212657195347258e-29,1.3975876192847846e-25,1,1.8985597300262316e-20,6.3522307024085212e-21,1.2633366597853794e-20,1,1.2602695127219364e-20,1.7552121208090784e-23,1.2585143006011273e-20,1,1.9275815865759344e-16,2.7337469968384046e-16,-8.0616541026247023e-17,0
1.0086327225314783e-45,2.4845702859466529e-49,1.0083842655028837e-45,1,1.8051403004888668e-46,3.9353281703008739e-49,1.8012049723185659e-46,1,3.4724693177525493e-35,2.4046978148066553e-37,3.448422339604483e-35,1,3.2092628094321261e-27,1.5023333202612438e-32,3.2092477860989235e-27,1,3.8445339500915173e-29,3.5767252679933854e-35,3.8445303733662492e-29,1,3.738501331601687e-20,5.8744430058538257e-26,3.738495457158681e-20,1
3.9819872278531615e-48,1.1954422340796854e-37,-1.1954422340398655e-37,0,1.6672786932227016e-51,7.5026235455753671e-40,-7.502623545558695e-40,0,1.1053297017964094e-40,5.1856174814130349e-28,-5.18561748141193e-28,0,8.8124017388688849e-29,1.6249891999163173e-26,-1.6161767981774483e-26,0,1.5523473677244665e-27,1.2878136873293189e-26,-1.1325789505568722e-26,0,2.1709798139664811e-20,9.1106939592585833e-17,-9.1085229794446169e-17,0
5.5621045540698201e-19,4.6493943347636772e-17,-4.5937732892229792e-17,0,1.9838063276086491e-18,2.8311661899209088e-16,-2.8113281266448221e-16,0,1.3064128957864291e-11,1.838782267714169e-09,-1.8257181387563048e-09,0,1.6040579073631056e-13,3.1245599695545823e-13,-1.5205020621914767e-13,0,1.2845143249594942e-12,6.3856602565603279e-13,6.4594829930346144e-13,1,1.6524500959504749e-09,1.0490044239738938e-09,6.0344567197658112e-10,1
5.387846118875014e-47,9.3680996088240237e-53,5.387836750775405e-47,1,1.9909399725906175e-49,7.7277757605946842e-54,1.9908626948330116e-49,1,8.1120738467518448e-42,9.6846860099401047e-43,7.143605245757834e-42,1,3.5571716784005289e-27,1.8526825692217825e-34,3.5571714931322719e-27,1,3.6407531694867465e-22,7.4758623396248657e-36,3.6407531694866717e-22,1,5.1527128347606574e-16,2.1330592719171169e-27,5.1527128347393266e-16,1
5.1183078636317022e-68,7.5802974968258245e-46,-7.5802974968258245e-46,0,9.4457125444270207e-67,5.7587223502178909e-44,-5.7587223502178909e-44,0,7.4949558645956308e-57,3.1797058131888977e-36,-3.1797058131888977e-36,0,9.2499549018618846e-43,2.1729247094570654e-28,-2.172924709457056e-28,0,3.0898564454423312e-47,4.4777589285000386e-27,-4.4777589285000386e-27,0,2.0007700702293358e-36,2.9302929447600599e-20,-2.9302929447600599e-20,0
2.2553436696618319e-34,1.0762893622421045e-34,1.1790543074197274e-34,1,5.54181745234665e-33,2.5843780175943155e-35,5.5159736721707067e-33,1,2.6119055639242447e-28,2.3487902253905774e-28,2.6311533853366728e-29,1,6.0145482798674922e-21,7.0197654596745777e-19,-6.9596199768759028e-19,0,6.7716871971298218e-22,3.2348994721262466e-19,-3.2281277849291168e-19,0,7.498916397478306e-16,8.6487437727632885e-15,-7.8988521330154584e-15,0
7.1206820161609767e-36,1.3219849811690285e-36,5.798697034991948e-36,1,1.0590711660892141e-38,2.909833169908711e-39,7.6808784909834301e-39,1,1.9676324528467293e-29,2.2139449421052492e-29,-2.4631248925851986e-30,0,8.4969705966765949e-15,1.2431023546198094e-25,8.4969705965522846e-15,1,4.1846408662255661e-13,3.0322907411658895e-29,4.1846408662255656e-13,1,9.5517437626986604e-10,1.2697058010979123e-20,9.5517437625716902e-10,1
4.7011076493777442e-44,3.9927358820736245e-50,4.7011036566418626e-44,1,6.8603397990627488e-47,1.8903319755491599e-49,6.841436479307257e-47,1,1.5238179687343243e-38,5.6640434538973933e-39,9.5741362334458488e-39,1,7.6082554123351768e-27,1.7795229435554881e-30,7.6064758893916214e-27,1,2.5088181708554156e-28,1.0219157821373361e-32,2.5087159792772019e-28,1,5.3430127783269209e-21,3.8589092675754579e-25,5.3426268874001629e-21,1
3.5492257901199751e-32,1.9274412391995622e-31,-1.5725186601875647e-31,0,6.7772462005322776e-31,1.7395251374793178e-33,6.7598509491574844e-31,1,2.5249866015306574e-23,3.6782888182966998e-24,2.1571577197009873e-23,1,8.9617000142098056e-24,7.403669760923545e-17,-7.4036688647535432e-17,0,9.0007237063318016e-27,6.3692319509544536e-17,-6.3692319500543818e-17,0,3.8894858506089692e-19,4.5663338042034711e-13,-4.5663299147176209e-13,0
4.1906016573732622e-26,1.0089264212703402e-27,4.0897090152462281e-26,1,7.3961625123308763e-28,1.5343642210791644e-27,-7.9474796984607682e-28,0,4.9739986118914391e-20,5.1344379250824405e-20,-1.604393131910014e-21,0,3.5650499314096422e-15,1.3209936201547109e-19,3.5649178320476265e-15,1,3.3009266505658483e-15,7.1055146821694374e-25,3.3009266498552969e-15,1,2.1293569392645473e-11,2.167360383078718e-18,2.1293567225285091e-11,1
